name,networth
"Lauder, Jane",2000
"Cline, Christopher",2000
"Dubin, Glenn",2000
"Fertitta, Frank III",2000
"Peterson, Peter",2000
"Yarbrough, Jon",2000
"Fertitta, Lorenzo",2000
"Clark, James H",2000
"Zinterhofer, Aerin Lauder",2000
"Tyson, John",2000
"Ricketts, J Joseph",2000
"Zalik, David",2000
"Lurie, Jeffrey",2000
"Shriram, Kavitark Ram",2100
"Khosla, Vinod",2100
"Wanek, Ronald",2100
"Hunt, William Herbert",2100
"Getty, Gordon Peter",2100
"Smidt, Eric",2100
"McLane, Drayton Jr",2100
"Walentas, David",2100
"Christopher, Todd",2100
"Marks, Howard",2100
"Gottesman, David",2100
"Perot, Henry Ross Jr",2100
"Karsh, Bruce",2100
"Abraham, S Daniel",2100
"Baron, Ronald",2200
"Gores, Alec",2200
"Simonyi, Charles",2200
"Pritzker, Daniel",2200
"Lee, Thomas Haskell",2200
"Turner, Robert Edward III",2200
"Coulter, James",2200
"Sanford, T Denny",2200
"Hubbard, Stanley Stub",2200
"Hastings, Reed",2200
"Dorsey, Jack",2200
"Lefkofsky, Eric",2200
"Rahr, Stewart",2200
"Young, William",2200
"Coleman, Chase III",2200
"Snyder, Daniel",2300
"Mathile, Clayton Lee",2300
"Mansueto, Joseph D",2300
"Wynn, Elaine",2300
"Buck, Peter",2300
"Kelley, Brad M",2300
"Taylor, Glen",2300
"Stevens, Mark",2300
"Robbins, Larry",2300
"Argyros, George Leon",2400
"Pritzker, John A",2400
"Arrillaga, John",2400
"Spanos, Alexander Gus",2400
"Secunda, Thomas",2400
"Trefler, Alan N.",2400
"Metropoulos, C Dean",2400
"Domingo, Julio Mario Santo III.",2400
"Lorberbaum, Jeffrey",2400
"Gottesman, Noam",2400
"Feld, Kenneth",2500
"Mandel, Stephen",2500
"Moreno, Arturo",2500
"Peery, Richard Taylor",2500
"York, Denise Debartolo",2500
"Stephens, Warren",2500
"Yang, Jerry",2500
"Braman, Norman",2500
"Walter, Mark",2500
"Gross, William H",2500
"Haslam, Bill",2500
"Bishop, George",2500
"Gray, Jonathan",2500
"Bass, Edward Perry",2500
"Beveridge, Bert",2500
"Henry, John",2500
"Paul, Jay",2600
"Parker, Sean",2600
"Pritzker, Penny",2600
"Bass, Lee Marshall",2600
"Ruffin, Phillip",2600
"Bonderman, David",2600
"Davis, Jim",2600
"Thiel, Peter",2600
"Parsons, Bob",2600
"Hankey, Don",2700
"Dorrance, Bennett",2700
"Ryan, Patrick George",2700
"VanderSloot, Frank",2700
"Stryker, Jon Lloyd",2700
"Chang, Do Won",2700
"Pritzker, Jean (Gigi)",2700
"Warner, H Ty",2700
"Fisher, John J",2700
"Irsay, James",2700
"Simon, Herbert",2700
"Fisher, Doris Feigenbaum",2700
"Hughes, Bradley Wayne",2700
"Wrigley, William Jr",2800
"Kibar, Osman",2800
"Rothschild, Jeff",2800
"Hunt, Johnelle",2800
"Zuckerman, Mortimer Benjamin",2800
"Sands, Robert",2800
"Benson, Tom",2800
"Singer, Paul",2800
"DeBartolo, Edward John Jr",2800
"Davis, Ray C",2800
"Huizenga, Harry Wayne",2800
"Shoen, E. Joe",2800
"Schultz, Howard S",2800
"Murdock, David Howard",2800
"Siebel, Thomas M",2900
"Breyer, Jim",2900
"Rubenstein, David",2900
"Conway, William Jr",2900
"Rubin, Michael",2900
"Grendys, Joseph",2900
"D'Aniello, Daniel",2900
"Ford, Gerald J",2900
"Hoang, Kieu",2900
"Sands, Richard",2900
"Cook, Scott D",3000
"Bechtel, Stephen Davison Jr",3000
"Whitman, Margaret C",3000
"Wadhwani, Romesh T",3000
"Bechtel, Riley P",3000
"Leprino, James",3000
"Gangwal, Rakesh",3000
"Golisano, Blase Thomas",3000
"Perez, Jorge M",3000
"Bundrant, Chuck",3000
"Winfrey, Oprah",3000
"Vultaggio, Don",3000
"Asness, Clifford",3000
"Middleton, John",3000
"Goldman, Jane",3100
"Cooperman, Leon G",3100
"Wynn, Stephen A",3100
"Trump, Donald John",3100
"Murphy, Bobby",3100
"Spiegel, Evan",3100
"Goldman, Allan",3100
"Rowan, Marc",3100
"Kao, Min H",3100
"Langone, Kenneth G",3100
"Stryker, Patricia A Short",3100
"Catsimatidis, John Andreas",3100
"Fowler, Amy Goldman",3100
"Brown, John W",3100
"DeJoria, John Paul",3100
"Kemper, Diane",3100
"Diller, Barry",3200
"Frost, Phillip",3200
"Hoffman, Reid",3200
"Saban, Haim",3200
"Pera, Robert",3200
"Leone, Douglas",3200
"Loeb, Daniel",3200
"Schusterman, Lynn",3200
"Smith, Robert",3300
"Lindemann, George L",3300
"Bluhm, Neil Gary",3300
"Malone, Mary Alice Dorrance",3300
"Kirk, Randal J",3300
"Nicholas, Henry Thompson III",3300
"Cuban, Mark",3300
"Hostetter, Amos Barr Jr",3300
"Shoen, Mark",3300
"Och, Daniel",3300
"Cherng, Andrew",3300
"Cohen, Charles",3300
"Arnold, John",3300
"Harris, Joshua",3300
"Faulkner, Judy",3400
"Schulze, Richard M",3400
"Pritzker, Anthony",3400
"Pritzker, Jay Robert (J B)",3400
"Bass, Sid Richardson",3400
"Kellogg, Peter R",3400
"Rales, Mitchell P",3400
