year,id,topfederalrate,topstaterate,state_full,state,millionaire_shr_tr,millionaire_share
2001,1,39.08,3.05,"ALABAMA","AL",.0007206,.0071867
2010,1,33.84,3.31,"ALABAMA","AL",.0010308,.0078292
2011,1,33.84,3.31,"ALABAMA","AL",.0010681,.0074951
2012,1,33.84,3.31,"ALABAMA","AL",.0014482,.0076951
2013,1,39.59,3.02,"ALABAMA","AL",.00123,.0073874
2014,1,39.59,3.02,"ALABAMA","AL",.0013828,.0070102
2015,1,39.59,3.02,"ALABAMA","AL",.0015484,.0073753
2016,1,39.59,3.02,"ALABAMA","AL",.0015853,.0077403
2017,1,39.59,3.02,"ALABAMA","AL",.0017088,.0072004
2001,2,40.27,0,"ALASKA","AK",.0006245,.0010959
2010,2,35,0,"ALASKA","AK",.0014555,.0019654
2011,2,35,0,"ALASKA","AK",.001467,.0018251
2012,2,35,0,"ALASKA","AK",.0019279,.0018137
2013,2,40.79,0,"ALASKA","AK",.0016428,.0017296
2014,2,40.79,0,"ALASKA","AK",.0017445,.0015606
2015,2,40.79,0,"ALASKA","AK",.00196,.0016467
2016,2,40.79,0,"ALASKA","AK",.0018961,.0015767
2017,2,40.79,0,"ALASKA","AK",.0017762,.0012683
2001,3,38.34,4.94,"ARIZONA","AZ",.001087,.0126083
2010,3,33.48,4.34,"ARIZONA","AZ",.0012837,.0126091
2011,3,33.48,4.34,"ARIZONA","AZ",.001331,.0124605
2012,3,33.48,4.34,"ARIZONA","AZ",.0017853,.0127733
2013,3,39.02,4.47,"ARIZONA","AZ",.0015212,.0125469
2014,3,39.02,4.47,"ARIZONA","AZ",.0018062,.0127322
2015,3,39.02,4.47,"ARIZONA","AZ",.0020207,.0136141
2016,3,39.02,4.47,"ARIZONA","AZ",.0019802,.0139277
2017,3,39.02,4.47,"ARIZONA","AZ",.0023088,.0142781
2001,4,37.45,7.21,"ARKANSAS","AR",.0005244,.0030981
2010,4,32.55,7,"ARKANSAS","AR",.0008821,.003902
2011,4,32.55,7,"ARKANSAS","AR",.0010118,.0041904
2012,4,32.55,7,"ARKANSAS","AR",.001394,.0044046
2013,4,37.93,7.21,"ARKANSAS","AR",.0011227,.0040162
2014,4,37.93,7.21,"ARKANSAS","AR",.0013163,.0039881
2015,4,37.93,7.21,"ARKANSAS","AR",.0014075,.0040123
2016,4,37.97,7.11,"ARKANSAS","AR",.0014408,.0042046
2017,4,37.97,7.11,"ARKANSAS","AR",.0015247,.0038457
2001,5,36.42,9.86,"CALIFORNIA","CA",.0020471,.1625069
2010,5,31.09,11.18,"CALIFORNIA","CA",.0025228,.152068
2011,5,31.18,10.92,"CALIFORNIA","CA",.0026438,.151341
2012,5,30.07,14.1,"CALIFORNIA","CA",.0034591,.1515442
2013,5,35.2,14.1,"CALIFORNIA","CA",.0031441,.1582727
2014,5,35.2,14.1,"CALIFORNIA","CA",.003782,.1631162
2015,5,35.2,14.1,"CALIFORNIA","CA",.0040806,.1680776
2016,5,35.2,14.1,"CALIFORNIA","CA",.0040012,.1703099
2017,5,35.2,14.1,"CALIFORNIA","CA",.0045753,.1693941
2001,6,38.41,4.77,"COLORADO","CO",.0015973,.0177507
2010,6,33.38,4.63,"COLORADO","CO",.0018422,.015774
2011,6,33.38,4.63,"COLORADO","CO",.0020627,.0167515
2012,6,33.38,4.63,"COLORADO","CO",.002657,.016867
2013,6,38.9,4.77,"COLORADO","CO",.0022573,.0165631
2014,6,38.9,4.77,"COLORADO","CO",.002816,.0178103
2015,6,38.9,4.77,"COLORADO","CO",.0029229,.0177424
2016,6,38.9,4.77,"COLORADO","CO",.0028917,.0182995
2017,6,38.9,4.77,"COLORADO","CO",.003382,.0187784
2001,7,38.51,4.5,"CONNECTICUT","CT",.0040767,.0360652
2010,7,32.73,6.5,"CONNECTICUT","CT",.0052271,.0326247
2011,7,32.65,6.7,"CONNECTICUT","CT",.0054324,.0318491
2012,7,32.65,6.7,"CONNECTICUT","CT",.006259,.0282413
2013,7,38.13,6.7,"CONNECTICUT","CT",.0056527,.0289927
2014,7,38.13,6.7,"CONNECTICUT","CT",.0062533,.0270993
2015,7,38.02,6.99,"CONNECTICUT","CT",.0065244,.0266484
2016,7,38.02,6.99,"CONNECTICUT","CT",.006265,.0262548
2017,7,38.02,6.99,"CONNECTICUT","CT",.0066079,.0238719
2001,8,37.88,6.13,"DELAWARE","DE",.0012789,.0025659
2010,8,32.57,6.95,"DELAWARE","DE",.0013957,.0021569
2011,8,32.57,6.95,"DELAWARE","DE",.0014623,.0021304
2012,8,32.64,6.75,"DELAWARE","DE",.0018657,.0020987
2013,8,38.03,6.95,"DELAWARE","DE",.0015466,.0019934
2014,8,38.1,6.8,"DELAWARE","DE",.0017574,.0019321
2015,8,38.1,6.8,"DELAWARE","DE",.0018112,.0019018
2016,8,38.1,6.8,"DELAWARE","DE",.0018653,.0020306
2017,8,38.1,6.8,"DELAWARE","DE",.0021333,.0020251
2001,9,36.61,9.38,"DISTRICT OF COLUMBIA","DC",.0027771,.0041308
2010,9,32.02,8.5,"DISTRICT OF COLUMBIA","DC",.0043455,.0050689
