year,id,topfederalrate,topstaterate,state_full
1977,0,70,0,"FEDERAL"
1978,0,70,0,"FEDERAL"
1979,0,50.01,0,"FEDERAL"
1980,0,50.01,0,"FEDERAL"
1981,0,50.01,0,"FEDERAL"
1982,0,50,0,"FEDERAL"
1983,0,50,0,"FEDERAL"
1984,0,50,0,"FEDERAL"
1985,0,50,0,"FEDERAL"
1986,0,50,0,"FEDERAL"
1987,0,38.5,0,"FEDERAL"
1988,0,28,0,"FEDERAL"
1989,0,28,0,"FEDERAL"
1990,0,28,0,"FEDERAL"
1991,0,31.93,0,"FEDERAL"
1992,0,31.93,0,"FEDERAL"
1993,0,40.79,0,"FEDERAL"
1994,0,40.79,0,"FEDERAL"
1995,0,40.79,0,"FEDERAL"
1996,0,40.79,0,"FEDERAL"
1997,0,40.79,0,"FEDERAL"
1998,0,40.79,0,"FEDERAL"
1999,0,40.79,0,"FEDERAL"
2000,0,40.79,0,"FEDERAL"
2001,0,40.27,0,"FEDERAL"
2002,0,39.76,0,"FEDERAL"
2003,0,36.05,0,"FEDERAL"
2004,0,36.05,0,"FEDERAL"
2005,0,36.05,0,"FEDERAL"
2006,0,35.7,0,"FEDERAL"
2007,0,35.7,0,"FEDERAL"
2008,0,35.35,0,"FEDERAL"
2009,0,35.35,0,"FEDERAL"
2010,0,35,0,"FEDERAL"
2011,0,35,0,"FEDERAL"
2012,0,35,0,"FEDERAL"
2013,0,40.79,0,"FEDERAL"
2014,0,40.79,0,"FEDERAL"
2015,0,40.79,0,"FEDERAL"
2016,0,40.79,0,"FEDERAL"
2017,0,40.79,0,"FEDERAL"
2018,0,37,0,"FEDERAL"
1977,1,68.91,1.55,"ALABAMA"
1978,1,68.91,1.55,"ALABAMA"
1979,1,48.72,2.56,"ALABAMA"
1980,1,48.72,2.56,"ALABAMA"
1981,1,48.72,2.56,"ALABAMA"
1982,1,48.72,2.56,"ALABAMA"
1983,1,48.72,2.56,"ALABAMA"
1984,1,48.72,2.56,"ALABAMA"
1985,1,48.72,2.56,"ALABAMA"
